Genome	Start	Size
GCA_030012765.1.faa	0	4921
GCA_030036875.1.faa	4921	4624
GCA_030169635.1.faa	9545	5119
GCA_030389715.1.faa	14664	5347
GCA_030413745.1.faa	20011	4879
GCA_030515355.1.faa	24890	4850
GCA_030515435.1.faa	29740	4693
GCA_030707875.1.faa	34433	5090
GCA_030708375.1.faa	39523	4858
GCA_030995245.1.faa	44381	4860
GCA_031786515.1.faa	49241	5395
GCA_032055125.1.faa	54636	4902
GCA_032295845.1.faa	59538	4932
GCA_035609265.1.faa	64470	5013
GCA_035621595.1.faa	69483	4371
